# x y nx ny
0.000000000000000000e+00 0.000000000000000000e+00 1.371880818607797703e-01 9.905450167434896036e-01
1.337725752508361378e-02 2.668740841808257477e-02 8.935243880877424827e-01 -4.490146633378749308e-01
2.675451505016721368e-02 5.324060357199582316e-02 8.926106169601905060e-01 -4.508284446327093242e-01
4.013177257525082919e-02 7.965958546173979027e-02 8.916857107156077600e-01 -4.526550489120844678e-01
5.350903010033445512e-02 1.059443540873144657e-01 8.907494995166468366e-01 -4.544945864483351250e-01
6.688628762541806716e-02 1.320949094487198217e-01 8.898018105346165996e-01 -4.563471682494790183e-01
8.026354515050167227e-02 1.581112515459558443e-01 8.888424678930599843e-01 -4.582129060488962513e-01
9.364080267558529125e-02 1.839933803790226030e-01 8.878712926100520431e-01 -4.600919122946584006e-01
1.070180602006688964e-01 2.097412959479200423e-01 8.868881025402102214e-01 -4.619843001365151469e-01
1.203953177257525292e-01 2.353549982526482176e-01 8.858927123139546111e-01 -4.638901834152396320e-01
1.337725752508361066e-01 2.608344872932070180e-01 8.848849332779094023e-01 -4.658096766467498817e-01
1.471498327759197255e-01 2.861797630695965267e-01 8.838645734320941250e-01 -4.677428950093224791e-01
1.605270903010033723e-01 3.113908255818167992e-01 8.828314373681347416e-01 -4.696899543257372356e-01
1.739043478260869635e-01 3.364676748298677245e-01 8.817853262045286522e-01 -4.716509710478429263e-01
1.872816053511705825e-01 3.614103108137493026e-01 8.807260375218199933e-01 -4.736260622380419338e-01
2.006588628762542015e-01 3.862187335334616445e-01 8.796533652966594952e-01 -4.756153455495960025e-01
2.140361204013377927e-01 4.108929429890046392e-01 8.785670998333692250e-01 -4.776189392082172414e-01
2.274133779264213839e-01 4.354329391803782867e-01 8.774670276970945038e-01 -4.796369619873205870e-01
2.407906354515050029e-01 4.598387221075826981e-01 8.763529316432396854e-01 -4.816695331867058560e-01
2.541678929765887052e-01 4.841102917706178732e-01 8.752245905469365761e-01 -4.837167726076359586e-01
2.675451505016722131e-01 5.082476481694835346e-01 8.740817793307951167e-01 -4.857788005274737420e-01
2.809224080267558321e-01 5.322507913041800709e-01 8.729242688929992333e-01 -4.878557376700851100e-01
2.942996655518394511e-01 5.561197211747072044e-01 8.717518260314491840e-01 -4.899477051796793936e-01
3.076769230769230701e-01 5.798544377810651573e-01 8.705642133685560502e-01 -4.920548245896864681e-01
3.210541806020066891e-01 6.034549411232537075e-01 8.693611892766045512e-01 -4.941772177868661298e-01
3.344314381270903080e-01 6.269212312012728550e-01 8.681425077987177108e-01 -4.963150069793915153e-01
3.478086956521739825e-01 6.502533080151229328e-01 8.669079185677273092e-01 -4.984683146646039509e-01
3.611859531772575460e-01 6.734511715648034968e-01 8.656571667315546836e-01 -5.006372635814250183e-01
3.745632107023411095e-01 6.965148218503147692e-01 8.643899928653724363e-01 -5.028219766818088354e-01
3.879404682274247840e-01 7.194442588716569720e-01 8.631061328948307354e-01 -5.050225770788180357e-01
4.013177257525084030e-01 7.422394826288296610e-01 8.618053180090456955e-01 -5.072391880083079174e-01
4.146949832775920219e-01 7.649004931218331693e-01 8.604872745773139986e-01 -5.094719327799189790e-01
4.280722408026756409e-01 7.874272903506673860e-01 8.591517240625485829e-01 -5.117209347294191524e-01
4.414494983277592599e-01 8.098198743153320889e-01 8.577983829357360701e-01 -5.139863171649966533e-01
4.548267558528428234e-01 8.320782450158276111e-01 8.564269625859638468e-01 -5.162682033166289264e-01
4.682040133779264979e-01 8.542024024521538417e-01 8.550371692321371286e-01 -5.185667162781407713e-01
4.815812709030101169e-01 8.761923466243108916e-01 8.536287038342257327e-01 -5.208819789456146099e-01
4.949585284280936248e-01 8.980480775322983167e-01 8.522012619982550774e-01 -5.232141139615609227e-01
5.083357859531774103e-01 9.197695951761167832e-01 8.507545338892966713e-01 -5.255632436413389952e-01
5.217130434782608628e-01 9.413568995557655139e-01 8.492882041334447463e-01 -5.279294899129884922e-01
5.350903010033445373e-01 9.628099906712453970e-01 8.478019517259063331e-01 -5.303129742423280391e-01
5.484675585284281008e-01 9.841288685225557664e-01 8.462954499353586568e-01 -5.327138175593991720e-01
5.618448160535116642e-01 1.005313533109696733e+00 8.447683662091579615e-01 -5.351321401787694221e-01
5.752220735785953387e-01 1.026363984432668630e+00 8.432203620753648821e-01 -5.375680617200865319e-01
5.885993311036789022e-01 1.047280222491471013e+00 8.416510930454946804e-01 -5.400217010225829561e-01
6.019765886287626877e-01 1.068062247286104327e+00 8.400602085130387531e-01 -5.424931760612570208e-01
6.153538461538461402e-01 1.088710058816567905e+00 8.384473516628259127e-01 -5.449826038412542983e-01
6.287311036789298146e-01 1.109223657082862635e+00 8.368121593625055255e-01 -5.474901003151204648e-01
6.421083612040134891e-01 1.129603042084987852e+00 8.351542620678982232e-01 -5.500157802734610968e-01
6.554856187290969416e-01 1.149848213822943777e+00 8.334732837189473553e-01 -5.525597572450918760e-01
6.688628762541805051e-01 1.169959172296730410e+00 8.317688416428493658e-01 -5.551221433811776018e-01
